record_id	stage	reason_code	reason_notes	source	url
PMID_23422643	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/23422643/
PMID_23422638	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/23422638/
PMID_23420411	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/23420411/
PMID_23383171	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/23383171/
PMID_25610243	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/25610243/
PMID_23343702	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/23343702/
PMID_23289357	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/23289357/
PMID_23233366	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/23233366/
PMID_23216713	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/23216713/
PMID_23186288	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/23186288/
PMID_23165314	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/23165314/
PMID_23146675	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/23146675/
PMID_23089570	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/23089570/
PMID_23072258	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/23072258/
PMID_23046799	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/23046799/
PMID_23018436	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/23018436/
PMID_23011503	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/23011503/
PMID_22808257	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/22808257/
PMID_22730542	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/22730542/
PMID_22691099	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/22691099/
PMID_22631665	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/22631665/
PMID_22562132	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/22562132/
PMID_22445557	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/22445557/
