pmid	doi	pmcid	title	journal	year	first_author	url
25178683	10.1002/ijc.29176		Improving cervical cancer screening attendance in Finland.	International journal of cancer	2015	Anni Virtanen	https://pubmed.ncbi.nlm.nih.gov/25178683/
25169534	10.7314/apjcp.2014.15.16.6837		Population-based cervical cancer screening using high-risk HPV DNA test and liquid-based cytology in northern Thailand.	Asian Pacific journal of cancer prevention : APJCP	2014	Sumalee Siriaunkgul	https://pubmed.ncbi.nlm.nih.gov/25169534/
25148227	10.1097/lgt.0000000000000051		Feasibility of at-home self-sampling for HPV testing as an appropriate screening strategy for nonparticipants in Switzerland: preliminary results of the DEPIST study.	Journal of lower genital tract disease	2015	Rosa Catarino	https://pubmed.ncbi.nlm.nih.gov/25148227/
25124608	10.7314/apjcp.2014.15.15.6257		Development of in-house multiplex real time PCR for human papillomavirus genotyping in Iranian women with cervical cancer and cervical intraepithelial neoplasia.	Asian Pacific journal of cancer prevention : APJCP	2014	Amir Sohrabi	https://pubmed.ncbi.nlm.nih.gov/25124608/
25124594	10.7314/apjcp.2014.15.15.6177		HPV vaccination for cervical cancer prevention is not cost-effective in Japan.	Asian Pacific journal of cancer prevention : APJCP	2014	Takahiro Isshiki	https://pubmed.ncbi.nlm.nih.gov/25124594/
25124589	10.7314/apjcp.2014.15.15.6151		Prevalence and genotype distribution of HPV among women attending a cervical cancer screening mobile unit in Lampang, Thailand.	Asian Pacific journal of cancer prevention : APJCP	2014	Kannika Paengchit	https://pubmed.ncbi.nlm.nih.gov/25124589/
25124579	10.7314/apjcp.2014.15.15.6095		Perception and practices on screening and vaccination for carcinoma cervix among female healthcare professional in tertiary care hospitals in Bangalore, India.	Asian Pacific journal of cancer prevention : APJCP	2014	M Swapnajaswanth	https://pubmed.ncbi.nlm.nih.gov/25124579/
25120228	10.1007/s10900-014-9931-x	PMC4316669	Perceptions of mailed HPV self-testing among women at higher risk for cervical cancer.	Journal of community health	2014	Kayoll V Galbraith	https://pubmed.ncbi.nlm.nih.gov/25120228/
25111387	10.1016/j.ygyno.2014.08.003		Methylation marker analysis and HPV16/18 genotyping in high-risk HPV positive self-sampled specimens to identify women with high grade CIN or cervical cancer.	Gynecologic oncology	2014	Viola M J Verhoef	https://pubmed.ncbi.nlm.nih.gov/25111387/
25088393	10.1111/1471-0528.12926		A prospective double-blind cross-sectional study of the accuracy of the use of dry vaginal tampons for self-sampling of human papillomaviruses.	BJOG : an international journal of obstetrics and gynaecology	2015	A M Khan	https://pubmed.ncbi.nlm.nih.gov/25088393/
25056208	10.1186/1745-6215-15-299	PMC4127186	Rationale and design of the research project of the South Florida Center for the Reduction of Cancer Health Disparities (SUCCESS): study protocol for a randomized controlled trial.	Trials	2014	Olveen Carrasquillo	https://pubmed.ncbi.nlm.nih.gov/25056208/
25032730	10.1038/bjc.2014.392	PMC4453842	DNA methylation analysis in self-sampled brush material as a triage test in hrHPV-positive women.	British journal of cancer	2014	A Boers	https://pubmed.ncbi.nlm.nih.gov/25032730/
25013976	10.1097/olq.0000000000000159	PMC5528151	Sexual behaviors and other risk factors for oral human papillomavirus infections in young women.	Sexually transmitted diseases	2014	Robert L Cook	https://pubmed.ncbi.nlm.nih.gov/25013976/
25010584	10.14423/smj.0000000000000132		Attitudes toward self-sampling for cervical cancer screening among primary care attendees living on the US-Mexico border.	Southern medical journal	2014	Eribeth Penaranda	https://pubmed.ncbi.nlm.nih.gov/25010584/
24998569	10.7314/apjcp.2014.15.12.4945		Genotype distribution of human papillomavirus in women with abnormal cervical cytology in an esophageal carcinoma high incidence area of China.	Asian Pacific journal of cancer prevention : APJCP	2014	Rui-Qin Mai	https://pubmed.ncbi.nlm.nih.gov/24998569/
24978811	10.1371/journal.pone.0101255	PMC4076302	Assessment of high-risk human papillomavirus infections using clinician- and self-collected cervical sampling methods in rural women from far western Nepal.	PloS one	2014	Derek C Johnson	https://pubmed.ncbi.nlm.nih.gov/24978811/
24972674	10.1186/1471-2458-14-656	PMC4094683	Age-specific prevalence of human papilloma virus infection among Nigerian women.	BMC public health	2014	Sally N Akarolo-Anthony	https://pubmed.ncbi.nlm.nih.gov/24972674/
24927941	10.1186/1471-2458-14-596	PMC4061776	Acceptability of self-collection sampling for HPV-DNA testing in low-resource settings: a mixed methods approach.	BMC public health	2014	Pooja Bansil	https://pubmed.ncbi.nlm.nih.gov/24927941/
24923998	10.1002/ijc.29026		Comparative performance of novel self-sampling methods in detecting high-risk human papillomavirus in 30,130 women not attending cervical screening.	International journal of cancer	2015	Remko P Bosgraaf	https://pubmed.ncbi.nlm.nih.gov/24923998/
24896848	10.1371/journal.pone.0098955	PMC4045821	Six-month incidence and persistence of oral HPV infection in HIV-negative and HIV-infected men who have sex with men.	PloS one	2014	Sofie H Mooij	https://pubmed.ncbi.nlm.nih.gov/24896848/
24881489	10.1016/j.jcv.2014.04.016	PMC4146457	Evaluation of clinical performance of a novel urine-based HPV detection assay among women attending a colposcopy clinic.	Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology	2014	Vikrant V Sahasrabuddhe	https://pubmed.ncbi.nlm.nih.gov/24881489/
24880188	10.1016/j.ijgo.2014.02.026		Acceptability of self-collected versus provider-collected sampling for HPV DNA testing among women in rural El Salvador.	International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics	2014	Alan J Rosenbaum	https://pubmed.ncbi.nlm.nih.gov/24880188/
24831549	10.1590/0074-0276130397	PMC4131789	Good agreements between self and clinician-collected specimens for the detection of human papillomavirus in Brazilian patients.	Memorias do Instituto Oswaldo Cruz	2014	Karla Lopes Mandu de Campos	https://pubmed.ncbi.nlm.nih.gov/24831549/
24736093	10.1016/j.ypmed.2014.04.011		Reasons for non-attendance to cervical screening and preferences for HPV self-sampling in Dutch women.	Preventive medicine	2014	Remko P Bosgraaf	https://pubmed.ncbi.nlm.nih.gov/24736093/
24727360	10.1136/bmjopen-2014-004783	PMC3987737	Understanding the role of embarrassment in gynaecological screening: a qualitative study from the ASPIRE cervical cancer screening project in Uganda.	BMJ open	2014	Flora F Teng	https://pubmed.ncbi.nlm.nih.gov/24727360/
24716964	10.7314/apjcp.2014.15.5.2245		Detection of human papillomavirus DNA in routine cervical scraping samples: use for a national cervical cancer screening program in a developing nation.	Asian Pacific journal of cancer prevention : APJCP	2014	Norodiyah Othman	https://pubmed.ncbi.nlm.nih.gov/24716964/
24689544	10.1111/jrh.12044	PMC4183147	Increasing cervical cancer screening in the United States-Mexico border region.	The Journal of rural health : official journal of the American Rural Health Association and the National Rural Health Care Association	2014	Beti Thompson	https://pubmed.ncbi.nlm.nih.gov/24689544/
24671789	10.1128/jcm.03432-13	PMC4042749	Optimal positive cutoff points for careHPV testing of clinician- and self-collected specimens in primary cervical cancer screening: an analysis from rural China.	Journal of clinical microbiology	2014	Le-Ni Kang	https://pubmed.ncbi.nlm.nih.gov/24671789/
24668335	10.1634/theoncologist.2013-0340	PMC3983819	Current cervical cancer screening knowledge, awareness, and practices among U.S. affiliated pacific island providers: opportunities and challenges.	The oncologist	2014	Julie S Townsend	https://pubmed.ncbi.nlm.nih.gov/24668335/
24668334	10.1634/theoncologist.2013-0318	PMC3983817	Cervical cancer-related knowledge, attitudes, and practices of health professionals working in brazil's network of primary care units.	The oncologist	2014	Analía Romina Stormo	https://pubmed.ncbi.nlm.nih.gov/24668334/
24660768	10.3109/0284186x.2013.869618		Interventions to improve cervical cancer screening uptake amongst young women: a systematic review.	Acta oncologica (Stockholm, Sweden)	2014	Rebecca Albrow	https://pubmed.ncbi.nlm.nih.gov/24660768/
24646201	10.1186/1471-2407-14-207	PMC3994873	Rationale and design of the iPap trial: a randomized controlled trial of home-based HPV self-sampling for improving participation in cervical screening by never- and under-screened women in Australia.	BMC cancer	2014	Farhana Sultana	https://pubmed.ncbi.nlm.nih.gov/24646201/
24622934	10.1007/s00404-014-3191-y		Interest of human papillomavirus DNA quantification and genotyping in paired cervical and urine samples to detect cervical lesions.	Archives of gynecology and obstetrics	2014	A Ducancelle	https://pubmed.ncbi.nlm.nih.gov/24622934/
24615324	10.1002/ijc.28834		HPV self-sampling as primary screening test in sub-Saharan Africa: implication for a triaging strategy.	International journal of cancer	2014	Sarah Untiet	https://pubmed.ncbi.nlm.nih.gov/24615324/
24615258	10.1002/ijc.28639		Specimen self-collection and HPV DNA screening in a pilot study of 100,242 women.	International journal of cancer	2014	Eduardo Lazcano-Ponce	https://pubmed.ncbi.nlm.nih.gov/24615258/
24601801	10.2217/whe.14.8		Self-sampling for high-risk human papillomavirus detection: future cervical cancer screening?	Women's health (London, England)	2014	Alexandros Daponte	https://pubmed.ncbi.nlm.nih.gov/24601801/
24598044	10.1586/14737159.2014.893829		Arguments in favor of HPV testing for cervical screening and post-treatment CIN2+ monitoring.	Expert review of molecular diagnostics	2014	Margot H Uijterwaal	https://pubmed.ncbi.nlm.nih.gov/24598044/
24575388	10.3389/fonc.2014.00020	PMC3919018	The Possible Effects on Socio-Economic Inequalities of Introducing HPV Testing as Primary Test in Cervical Cancer Screening Programs.	Frontiers in oncology	2014	Paolo Giorgi Rossi	https://pubmed.ncbi.nlm.nih.gov/24575388/
24568517	10.7314/apjcp.2014.15.2.905		Women's perceptions and attitudes about cervical cancer in Turkey: Kato's device as an alternative to the Pap smear.	Asian Pacific journal of cancer prevention : APJCP	2014	Mustafa Kursat Sahin	https://pubmed.ncbi.nlm.nih.gov/24568517/
24568514	10.7314/apjcp.2014.15.2.891		PAX1 methylation analysis by MS-HRM is useful in triage of high-grade squamous intraepithelial lesions.	Asian Pacific journal of cancer prevention : APJCP	2014	Zhen-Ming Wang	https://pubmed.ncbi.nlm.nih.gov/24568514/
24568508	10.7314/apjcp.2014.15.2.861		Hybrid capture 2 assay based evaluation of high-risk HPV status in healthy women of north-east India.	Asian Pacific journal of cancer prevention : APJCP	2014	Avdhesh Kumar Rai	https://pubmed.ncbi.nlm.nih.gov/24568508/
24568476	10.7314/apjcp.2014.15.2.671		Cervical cancer screening and analysis of potential risk factors in 43,567 women in Zhongshan, China.	Asian Pacific journal of cancer prevention : APJCP	2014	Ying Wang	https://pubmed.ncbi.nlm.nih.gov/24568476/
24557438	10.1097/igc.0000000000000084	PMC4047307	A multicountry evaluation of careHPV testing, visual inspection with acetic acid, and papanicolaou testing for the detection of cervical cancer.	International journal of gynecological cancer : official journal of the International Gynecological Cancer Society	2014	Jose Jeronimo	https://pubmed.ncbi.nlm.nih.gov/24557438/
24529697	10.1016/s1470-2045(14)70019-1		Triage by methylation-marker testing versus cytology in women who test HPV-positive on self-collected cervicovaginal specimens (PROHTECT-3): a randomised controlled non-inferiority trial.	The Lancet. Oncology	2014	Viola M J Verhoef	https://pubmed.ncbi.nlm.nih.gov/24529697/
